"zip","name","emp_nf","emp","qp1_nf","qp1","ap_nf","ap","est","city","stabbr","cty_name"
"95685","SUTTER CREEK, CA","H",719,"G",6392,"G",28234,124,"SUTTER CREEK","CA","AMADOR"
"95686","THORNTON, CA","J",294,"J",4294,"J",14304,14,"THORNTON","CA","SAN JOAQUIN"
"95687","VACAVILLE, CA","G",12223,"G",130693,"G",533302,896,"VACAVILLE","CA","SOLANO"
"95688","VACAVILLE, CA","G",19362,"G",301481,"G",1232798,1073,"VACAVILLE","CA","SOLANO"
"95689","VOLCANO, CA","H",84,"H",1446,"H",7103,17,"VOLCANO","CA","AMADOR"
"95690","WALNUT GROVE, CA","J",274,"H",2860,"H",14887,46,"WALNUT GROVE","CA","SACRAMENTO"
"95691","WEST SACRAMENTO, CA","G",20620,"G",303938,"G",1231825,1105,"WEST SACRAMENTO","CA","YOLO"
"95692","WHEATLAND, CA","H",2312,"J",26497,"H",102892,66,"WHEATLAND","CA","YUBA"
"95693","WILTON, CA","H",800,"G",7115,"G",32677,135,"WILTON","CA","SACRAMENTO"
"95694","WINTERS, CA","H",1882,"H",22759,"H",102829,174,"WINTERS","CA","YOLO"
"95695","WOODLAND, CA","G",9053,"G",121307,"H",580094,765,"WOODLAND","CA","YOLO"
"95696","VACAVILLE, CA","G",155,"G",1426,"G",6614,16,"VACAVILLE","CA","SOLANO"
"95697","YOLO, CA","J",730,"J",27443,"J",104878,6,"YOLO","CA","YOLO"
"95698","ZAMORA, CA","J",81,"J",1327,"H",4589,9,"ZAMORA","CA","YOLO"
"95699","DRYTOWN, CA","G",29,"H",294,"G",696,4,"DRYTOWN","CA","AMADOR"
"95701","ALTA, CA","J",69,"H",2857,"H",9463,14,"ALTA","CA","PLACER"
"95703","APPLEGATE, CA","H",232,"H",3442,"H",15322,36,"APPLEGATE","CA","PLACER"
"95709","CAMINO, CA","G",450,"G",4444,"G",19265,82,"CAMINO","CA","EL DORADO"
"95712","CHICAGO PARK, CA","J",118,"H",1541,"H",6173,5,"CHICAGO PARK","CA","NEVADA"
